"nama","kategori_usaha","kategori_grup","kecamatan","alamat","rating","rating_kategori","jumlah_ulasan","popularitas","skor_potensi","label_kelayakan","latitude","longitude","telepon","website","foto_url","keyword","tanggal"
"AKIRA GRILL","Restoran Jepang","Kuliner & Minuman","Mamajang","Jl. Letjen Hertasning No.40, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90232",4.8,"Sangat Baik",878,"Sangat Populer",96.3,"Sangat Layak",-5.162402,119.442387,"0813-4513-0551","instagram.com","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpmInllR8mVWmkJvqBFi1zVwJned4PCza3TPyA_tYFfDC90lZ87HqRuQMnXOC0_K059wkjntz8jT1e_pXbAZHDZt2EqABR6BhhHKX1EGmb-54v7VxZXrCuiFkokN7t2fptH5PKjw=w800-h600-k-no","japanese food Mamajang Makassar","2026-05-05"
"Bakmi Ayam Bangka 77","Restoran Mie","Kuliner & Minuman","Mamajang","Jl. Amanagappa No.1, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90125",4.8,"Sangat Baik",856,"Sangat Populer",96.1,"Sangat Layak",-5.137255,119.410636,"0852-1832-2417","msha.ke","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEc9sR23yQ1ifGjR22vXmTDbbcWPDn5m8ub4_9W_8N7WaXqptdSNUJjiARMMURFkYeXyfFzXt-LAK6oAeoXtv8t4cS5ouvQKOih9DacYqr22VpeuDupiEsIsqNpstSpyQS0hk2B=w800-h600-k-no","mie ayam Mamajang Makassar","2026-05-05"
"Kin Kaku Makassar","Restoran Jepang","Kuliner & Minuman","Mamajang","Jl. Boulevard No.36-42, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",4.8,"Sangat Baik",848,"Sangat Populer",96.1,"Sangat Layak",-5.1554977,119.4407599,"0811-4167-677","instagram.com","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8VL0GV3_0ynJwdJKbZveg5hkSQjeq2YpOt1POSfaUO93r0IadfUGmFwfJMxKU_95XMwp7QaiMJQdy_RL_F51izNasMMkfbxdv6fl6HnEfkomd18SEE7MRrs2RphzH3b_dd_Uv=w800-h600-k-no","japanese food Mamajang Makassar","2026-05-05"
"sate vetran selatan","Restoran Sate","Kuliner & Minuman","Mamajang","Jl. S. Poso No.1, Pisang Utara, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115",4.6,"Sangat Baik",999,"Sangat Populer",94,"Sangat Layak",-5.1592427,119.4228687,"0822-9220-3889",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAF1oQfAs1XGuoDaSz2hw3pwt7gGQpDnSvY9R-ZbDeIaPA5SXUROu-SE9L4scDdgCcq851U0emQ3FVTOsq_gsVtj4RRiVF9CvDnH8P_k5gmrmTLrq4qviiVrRIK7_99ZmzLOe6A=w800-h600-k-no","sate Mamajang Makassar","2026-05-05"
"Hotway's Chicken Makassar Cendrawasih","Restoran Masakan Ayam","Kuliner & Minuman","Mamajang","Jl. Opu Daeng Risadju No.209, Baji Mappakasunggu, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90121",5,"Sangat Baik",322,"Populer",93.5,"Sangat Layak",-5.1686814,119.4116972,"0813-9317-396","hotwayschicken.com","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGz65f1d8qX9aPCpQKxxTQK3RXFsjlk3he8OHFNAIHBoiN0OwLRuasTJj1zMyHi0a-7ug0KAR1Wgot9kCX1eOJ1F2StHEYJDfwVF96BfnOKMwH3RqW-sElNTBC-TmMHeh0xCoJiirdBJvmf=w800-h600-k-no","restoran Mamajang Makassar","2026-05-05"
"Sunachi Suki Restaurant","Restoran China","Kuliner & Minuman","Mamajang","Rappocini, Jl. A. P. Pettarani No.3, Mannuruki, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90222",4.6,"Sangat Baik",913,"Sangat Populer",93.5,"Sangat Layak",-5.1687984,119.432419,"(0411) 833888","claromakassar.com","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaIAvKYA7z6blcrR8K0cmkBKZ5bq35H_GZXlNLLiXcHuwyoY9BAoHeHf4CxnZ8FddmZQq9D-Y1RB82BTODpZre1Ki3A3VGe4XL2G9d3JmjmhGbRO-TrnL9bRrSTNugjFHn1VE7O1WbFdyb=w800-h600-k-no","chinese food Mamajang Makassar","2026-05-05"
"Bakmi Ayam Bangka 38","Restoran Mie","Kuliner & Minuman","Mamajang","Jl. Adhyaksa Baru Ruko Zamrud 2 No.82, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",4.7,"Sangat Baik",522,"Sangat Populer",91.7,"Sangat Layak",-5.1560695,119.4459883,"0812-4106-9635",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHcJ4LNopG0Ea4Pv2rDVHuEaKWwnlPdW2Mqh1HQuoGJE_fdUYPx3QWNa4KcjVVxtedCfz5a0KzisCinBdDnT_GV6L1a64d6Wj8tuF8akzg436CfaS1bZyTHjpzl3UBc45Ruhw=w800-h600-k-no","mie ayam Mamajang Makassar","2026-05-05"
"Paskop","Kedai Kopi","Kuliner & Minuman","Mamajang","Jl. Andi Djemma No.11B, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",4.6,"Sangat Baik",636,"Sangat Populer",91.4,"Sangat Layak",-5.167445,119.431145,"0851-5955-7420","linktr.ee","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGocgaxf5DnuxqL8a2C9YauWjMpULJhj9BsPaPshw-4N2kXYlIa-5iRjAuGxDoFTnk6hzeDTSdepA0KCzDirgkg-Jc7swcLVrdu0SK39ZMq3GFUC9H9-_vbjx7uU8w5YP62xLk=w800-h600-k-no","minuman kekinian Mamajang Makassar","2026-05-05"
"RM Nasi Goreng Oke","Restoran Nasi Goreng","Kuliner & Minuman","Mamajang","Jl. G. Bulusaraung No.18A, Pisang Utara, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90157",4.5,"Sangat Baik",831,"Sangat Populer",91.4,"Sangat Layak",-5.1324267,119.415991,NA,NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHA4RyXSBcnuv4wS_LSCnDClamoNmVmxQZesztmLmQVEbxf_7fAfC-OXBHnFwK06OaLVaEW_4wEUIBVlK6C_fZM6qUBaP43XLsOngyL0KvqYmKoM5cRn9iOuvC-5NbcyjeTx3ShQ=w800-h600-k-no","nasi goreng Mamajang Makassar","2026-05-05"
"Rumah Makan New Lay","Restoran China","Kuliner & Minuman","Mamajang","Jl. Andi Makasau No.3, Baru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115",4.5,"Sangat Baik",825,"Sangat Populer",91.4,"Sangat Layak",-5.1384132,119.4085692,"0851-0701-3838","instagram.com","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqjQTfWdPvMQJNYlvUIROrMf3TbQlHENqT1lUsA2OjNXa6TclJYJysBbRMkcbu3yIAeylVu6X55n73hy_SBXjlpJ1l8PV8Lt6FXqmi7sFn3w306YefMHlLYbLaJ6i5rTX4=w800-h600-k-no","chinese food Mamajang Makassar","2026-05-05"
